image,cer,wer
0001209043.png,7.40,19.86
0001129658.png,17.58,28.40
0001239897.png,22.64,41.54
0011856542.png,1.47,5.75
0011859695.png,11.46,21.88
0011973451.png,3.53,18.55
0011976929.png,15.22,27.40
0013255595.png,0.90,11.76
0060136394.png,36.63,46.84
0060255888.png,3.86,12.60
0060262650.png,23.43,32.56
0060270727.png,11.56,40.82
0060308251.png,9.45,50.00
0071032807.png,5.63,10.45
00865872.png,7.91,21.64
82254638.png,23.23,28.26
87533049.png,17.30,36.73
91914407.png,10.55,26.61
92327794.png,3.80,15.58
92657391.png,11.99,22.31
